gun-turret,entity-name.gun-turret
laser-turret,item-name.laser-turret
radar,entity-name.radar
rocket-silo,entity-name.rocket-silo
basic-splitter,entity-name.basic-splitter
fast-splitter,entity-name.fast-splitter
express-splitter,entity-name.express-splitter
smart-inserter,entity-name.smart-inserter
big-electric-pole,entity-name.big-electric-pole
substation,entity-name.substation
train-stop,entity-name.train-stop
diesel-locomotive,entity-name.diesel-locomotive
tank,entity-name.tank
logistic-robot,entity-name.logistic-robot
construction-robot,entity-name.construction-robot
logistic-chest-active-provider,entity-name.logistic-chest-active-provider
logistic-chest-passive-provider,entity-name.logistic-chest-passive-provider
logistic-chest-requester,entity-name.logistic-chest-requester
logistic-chest-storage,entity-name.logistic-chest-storage
roboport,entity-name.roboport
solar-panel,item-name.solar-panel
basic-accumulator,entity-name.basic-accumulator
pumpjack,entity-name.pumpjack
electric-furnace,entity-name.electric-furnace
electric-incinerator,entity-name.electric-incinerator
pulverizer,entity-name.pulverizer
assembling-machine-2,entity-name.assembling-machine-2
assembling-machine-3,entity-name.assembling-machine-3
oil-refinery,entity-name.oil-refinery
chemical-plant,entity-name.chemical-plant
lab,item-name.lab
basic-beacon,entity-name.basic-beacon
